model,epoch,train_loss,val_loss,train_ppl,val_ppl,time_sec
LSTM,1,5.785911553811819,5.187760878465847,325.6787785775861,179.06715059227864,15.48966932296753
LSTM,2,5.2120369573867995,4.930612506980667,183.46739309258837,138.46429672011186,15.14055585861206
LSTM,3,4.986793107861515,4.813208787741061,146.46596898594933,123.12606974528161,14.678447008132935
LSTM,4,4.87588630180692,4.743067787792868,131.0902872967921,114.78580056679507,14.741250038146973
LSTM,5,4.793591306719717,4.700275670268579,120.73418449891025,109.97748579673481,14.73256516456604
LSTM,6,4.745717795655197,4.661867477222831,115.09038724107387,105.83353945010961,14.325260162353516
Transformer,1,5.610579001330913,5.190258344490371,273.30243467571466,179.51492363322697,8.870643138885498
Transformer,2,5.09067399376865,5.024560654948571,162.49934870111963,152.10341554778265,8.66611933708191
Transformer,3,4.8789343438294255,4.9439111562546145,131.49046557149055,140.3179832836382,8.767088890075684
Transformer,4,4.78094865193013,4.910121665029469,119.21739222673516,135.6559179857501,8.917948961257935
Transformer,5,4.700572179394518,4.874890009086289,110.01009995988096,130.95974803626808,8.971043109893799
Transformer,6,4.661442384449155,4.863824364667881,105.78855993818692,129.51858245001924,8.76950216293335
